attribute_3a,value_3a,figure_3a,attribute_3b,value_3b,figure_3b,attribute_3c,value_3c,figure_3c
stdres60,-18.4506266894199,3A,stdres60,-16.4568324387727,3B,stdres60,NaN,3C
stdres61,-0.460213803961812,3A,stdres61,-0.797782635898604,3B,stdres61,14.4005511289874,3C
stdres62,-0.879812191949917,3A,stdres62,-0.950107578616154,3B,stdres62,-1.83967767318006,3C
stdres63,3.93465068116751,3A,stdres63,5.13512779038411,3B,stdres63,-8.85792480446303,3C
stdres64,4.7478762969666,3A,stdres64,4.65805722632024,3B,stdres64,4.43895824633726,3C
stdres65,-0.142550037391632,3A,stdres65,-1.69149252643504,3B,stdres65,-7.72610747529485,3C
stdres66,-14.1670365454409,3A,stdres66,-12.4829550633373,3B,stdres66,NaN,3C
stdres67,-4.65018311462837,3A,stdres67,-5.11024867720554,3B,stdres67,-2.03642683985568,3C
stdres68,0.0406618723299531,3A,stdres68,-2.20001220392139,3B,stdres68,-4.57177548238474,3C
stdres69,6.65642948045754,3A,stdres69,7.9790903685732,3B,stdres69,-2.52173927680113,3C
stdres70,8.07235189286098,3A,stdres70,7.09725342960701,3B,stdres70,13.4738107488482,3C
stdres71,-3.387385274908,3A,stdres71,-2.13433791262418,3B,stdres71,-4.67133198610211,3C
stdres72,-12.6058528726306,3A,stdres72,-10.6997901745742,3B,stdres72,NaN,3C
