id,inst_type,inst_id,US_region,PUI_RI,world_region,Other_inst_type
109_2020-2021,offer_institutions,4675,NA,NA,NA,NA
110_2020-2021,offer_institutions,4675,NA,NA,NA,NA
111_2020-2021,offer_institutions,4675,NA,NA,NA,NA
112_2020-2021,offer_institutions,4675,NA,NA,NA,NA
113_2020-2021,offer_institutions,4675,NA,NA,NA,NA
114_2020-2021,offer_institutions,2579,Southwest,RI,USA,US college or university
115_2020-2021,offer_institutions,4092,Midwest,RI,USA,US college or university
116_2020-2021,offer_institutions,4675,NA,NA,NA,NA
117_2020-2021,offer_institutions,4675,NA,NA,NA,NA
118_2020-2021,offer_institutions,4675,NA,NA,NA,NA
119_2020-2021,offer_institutions,1630,Rocky Mountains,RI,USA,US college or university
120_2020-2021,offer_institutions,4490,NA,PUI,Canada,NA
121_2020-2021,offer_institutions,4348,NA,NA,European,private research institute
122_2020-2021,offer_institutions,3434,Southwest,PUI,USA,US college or university
123_2020-2021,offer_institutions,3782,Midwest,RI,USA,US college or university
124_2020-2021,offer_institutions,4455,NA,RI,Canada,NA
125_2020-2021,offer_institutions,4675,NA,NA,NA,NA
126_2020-2021,offer_institutions,0,NA,NA,NA,NA
127_2020-2021,offer_institutions,4675,NA,NA,NA,NA
128_2020-2021,offer_institutions,4675,NA,NA,NA,NA
129_2020-2021,offer_institutions,4258,Northeast,RI,USA,US college or university
130_2020-2021,offer_institutions,4675,NA,NA,NA,NA
131_2020-2021,offer_institutions,3712,Rocky Mountains,RI,USA,US college or university
132_2020-2021,offer_institutions,4675,NA,NA,NA,NA
133_2020-2021,offer_institutions,4675,NA,NA,NA,NA
134_2020-2021,offer_institutions,4675,NA,NA,NA,NA
135_2020-2021,offer_institutions,4675,NA,NA,NA,NA
136_2020-2021,offer_institutions,4675,NA,NA,NA,NA
137_2020-2021,offer_institutions,4675,NA,NA,NA,NA
138_2020-2021,offer_institutions,4675,NA,NA,NA,NA
139_2020-2021,offer_institutions,4675,NA,NA,NA,NA
1_2021-2022,offer_institutions,4675,NA,NA,NA,NA
2_2021-2022,offer_institutions,4675,NA,NA,NA,NA
3_2021-2022,offer_institutions,3709,Midwest,RI,USA,US college or university
4_2021-2022,offer_institutions,4675,NA,NA,NA,NA
5_2021-2022,offer_institutions,4494,NA,RI,Canada,NA
6_2021-2022,offer_institutions,4675,NA,NA,NA,NA
7_2021-2022,offer_institutions,4675,NA,NA,NA,NA
8_2021-2022,offer_institutions,4675,NA,NA,NA,NA
9_2021-2022,offer_institutions,4445,NA,RI,Canada,NA
10_2021-2022,offer_institutions,3745,Southeast,RI,USA,US college or university
11_2021-2022,offer_institutions,4675,NA,NA,NA,NA
12_2021-2022,offer_institutions,3792,Midwest,RI,USA,US college or university
14_2021-2022,offer_institutions,4092,Midwest,RI,USA,US college or university
15_2021-2022,offer_institutions,3529,Southwest,RI,USA,US college or university
16_2021-2022,offer_institutions,3809,Southeast,RI,USA,US college or university
17_2021-2022,offer_institutions,4675,NA,NA,NA,NA
18_2021-2022,offer_institutions,4675,NA,NA,NA,NA
19_2021-2022,offer_institutions,4092,Midwest,RI,USA,US college or university
20_2021-2022,offer_institutions,4675,NA,NA,NA,NA
21_2021-2022,offer_institutions,4675,NA,NA,NA,NA
22_2021-2022,offer_institutions,4636,NA,NA,USA,museum
23_2021-2022,offer_institutions,4675,NA,NA,NA,NA
24_2021-2022,offer_institutions,4675,NA,NA,NA,NA
25_2021-2022,offer_institutions,2597,Pacific,RI,USA,US college or university
27_2021-2022,offer_institutions,1579,Northeast,RI,USA,US college or university
28_2021-2022,offer_institutions,2826,Midwest,RI,USA,US college or university
29_2021-2022,offer_institutions,4379,NA,NA,European,private research institute
30_2021-2022,offer_institutions,4675,NA,NA,NA,NA
31_2021-2022,offer_institutions,4675,NA,NA,NA,NA
32_2021-2022,offer_institutions,1115,Northeast,RI,USA,US college or university
33_2021-2022,offer_institutions,4675,NA,NA,NA,NA
34_2021-2022,offer_institutions,4675,NA,NA,NA,NA
35_2021-2022,offer_institutions,4675,NA,NA,NA,NA
36_2021-2022,offer_institutions,4675,NA,NA,NA,NA
37_2021-2022,offer_institutions,4675,NA,NA,NA,NA
38_2021-2022,offer_institutions,4675,NA,NA,NA,NA
39_2021-2022,offer_institutions,3941,Pacific,RI,USA,US college or university
40_2021-2022,offer_institutions,4675,NA,NA,NA,NA
41_2021-2022,offer_institutions,3793,Rocky Mountains,RI,USA,US college or university
42_2021-2022,offer_institutions,3697,Pacific,RI,USA,US college or university
43_2021-2022,offer_institutions,4675,NA,NA,NA,NA
44_2021-2022,offer_institutions,3900,Southeast,RI,USA,US college or university
45_2021-2022,offer_institutions,2470,Northeast,RI,USA,US college or university
46_2021-2022,offer_institutions,1115,Northeast,RI,USA,US college or university
47_2021-2022,offer_institutions,4675,NA,NA,NA,NA
48_2021-2022,offer_institutions,4675,NA,NA,NA,NA
49_2021-2022,offer_institutions,4675,NA,NA,NA,NA
50_2021-2022,offer_institutions,4675,NA,NA,NA,NA
51_2021-2022,offer_institutions,0,NA,NA,NA,NA
52_2021-2022,offer_institutions,4675,NA,NA,NA,NA
53_2021-2022,offer_institutions,4532,NA,RI,European,NA
56_2021-2022,offer_institutions,3696,Pacific,RI,USA,US college or university
57_2021-2022,offer_institutions,4675,NA,NA,NA,NA
58_2021-2022,offer_institutions,0,NA,NA,NA,NA
59_2021-2022,offer_institutions,0,NA,NA,NA,NA
60_2021-2022,offer_institutions,4675,NA,NA,NA,NA
61_2021-2022,offer_institutions,4675,NA,NA,NA,NA
62_2021-2022,offer_institutions,3706,Midwest,RI,USA,US college or university
63_2021-2022,offer_institutions,477,Northeast,RI,USA,US college or university
64_2021-2022,offer_institutions,4675,NA,NA,NA,NA
65_2021-2022,offer_institutions,4675,NA,NA,NA,NA
66_2021-2022,offer_institutions,4675,NA,NA,NA,NA
67_2021-2022,offer_institutions,4675,NA,NA,NA,NA
68_2021-2022,offer_institutions,3694,Pacific,RI,USA,US college or university
69_2021-2022,offer_institutions,3780,Midwest,RI,USA,US college or university
70_2021-2022,offer_institutions,2846,Northeast,PUI,USA,US college or university
71_2021-2022,offer_institutions,0,NA,NA,NA,NA
72_2021-2022,offer_institutions,4675,NA,NA,NA,NA
73_2021-2022,offer_institutions,4675,NA,NA,NA,NA
74_2021-2022,offer_institutions,397,Rocky Mountains,RI,USA,US college or university
75_2021-2022,offer_institutions,3402,Northeast,PUI,USA,US college or university
76_2021-2022,offer_institutions,0,NA,NA,NA,NA
77_2021-2022,offer_institutions,3951,Midwest,RI,USA,US college or university
78_2021-2022,offer_institutions,4675,NA,NA,NA,NA
79_2021-2022,offer_institutions,4509,NA,RI,European,NA
80_2021-2022,offer_institutions,4675,NA,NA,NA,NA
81_2021-2022,offer_institutions,3764,Southeast,RI,USA,US college or university
82_2021-2022,offer_institutions,4675,NA,NA,NA,NA
83_2021-2022,offer_institutions,4675,NA,NA,NA,NA
84_2021-2022,offer_institutions,4675,NA,NA,NA,NA
85_2021-2022,offer_institutions,3751,Northeast,RI,USA,US college or university
86_2021-2022,offer_institutions,4675,NA,NA,NA,NA
87_2021-2022,offer_institutions,4675,NA,NA,NA,NA
88_2021-2022,offer_institutions,2599,Pacific,RI,USA,US college or university
89_2021-2022,offer_institutions,3441,Southwest,PUI,USA,US college or university
90_2021-2022,offer_institutions,0,NA,NA,NA,NA
91_2021-2022,offer_institutions,4675,NA,NA,NA,NA
92_2021-2022,offer_institutions,4675,NA,NA,NA,NA
93_2021-2022,offer_institutions,0,NA,NA,NA,NA
94_2021-2022,offer_institutions,957,Midwest,PUI,USA,US college or university
95_2021-2022,offer_institutions,4675,NA,NA,NA,NA
96_2021-2022,offer_institutions,4675,NA,NA,NA,NA
97_2021-2022,offer_institutions,4675,NA,NA,NA,NA
98_2021-2022,offer_institutions,627,Midwest,RI,USA,US college or university
99_2021-2022,offer_institutions,2428,Southeast,RI,USA,US college or university
100_2021-2022,offer_institutions,4675,NA,NA,NA,NA
101_2021-2022,offer_institutions,4675,NA,NA,NA,NA
102_2021-2022,offer_institutions,3826,Southwest,RI,USA,US college or university
103_2021-2022,offer_institutions,3773,Midwest,RI,USA,US college or university
104_2021-2022,offer_institutions,4675,NA,NA,NA,NA
105_2021-2022,offer_institutions,4675,NA,NA,NA,NA
106_2021-2022,offer_institutions,4675,NA,NA,NA,NA
107_2021-2022,offer_institutions,4675,NA,NA,NA,NA
108_2021-2022,offer_institutions,4675,NA,NA,NA,NA
109_2021-2022,offer_institutions,4675,NA,NA,NA,NA
110_2021-2022,offer_institutions,4675,NA,NA,NA,NA
111_2021-2022,offer_institutions,4675,NA,NA,NA,NA
112_2021-2022,offer_institutions,4519,NA,RI,Canada,research institute
113_2021-2022,offer_institutions,4675,NA,NA,NA,NA
114_2021-2022,offer_institutions,4675,NA,NA,NA,NA
115_2021-2022,offer_institutions,4675,NA,NA,NA,NA
116_2021-2022,offer_institutions,4675,NA,NA,NA,NA
117_2021-2022,offer_institutions,0,NA,NA,NA,NA
118_2021-2022,offer_institutions,4675,NA,NA,NA,NA
119_2021-2022,offer_institutions,4675,NA,NA,NA,NA
120_2021-2022,offer_institutions,4675,NA,NA,NA,NA
121_2021-2022,offer_institutions,4675,NA,NA,NA,NA
122_2021-2022,offer_institutions,4675,NA,NA,NA,NA
123_2021-2022,offer_institutions,4675,NA,NA,NA,NA
124_2021-2022,offer_institutions,4675,NA,NA,NA,NA
125_2021-2022,offer_institutions,4675,NA,NA,NA,NA
126_2021-2022,offer_institutions,4258,Northeast,RI,USA,US college or university
127_2021-2022,offer_institutions,4675,NA,NA,NA,NA
128_2021-2022,offer_institutions,4380,NA,RI,Canada,NA
129_2021-2022,offer_institutions,1791,Southeast,RI,USA,US college or university
130_2021-2022,offer_institutions,543,Pacific,PUI,USA,US college or university
131_2021-2022,offer_institutions,4675,NA,NA,NA,NA
132_2021-2022,offer_institutions,4675,NA,NA,NA,NA
133_2021-2022,offer_institutions,4675,NA,NA,NA,NA
134_2021-2022,offer_institutions,4675,NA,NA,NA,NA
135_2021-2022,offer_institutions,4675,NA,NA,NA,NA
136_2021-2022,offer_institutions,4675,NA,NA,NA,NA
137_2021-2022,offer_institutions,1127,Midwest,PUI,USA,US college or university
138_2021-2022,offer_institutions,4397,NA,NA,USA,private research institute
139_2021-2022,offer_institutions,4675,NA,NA,NA,NA
140_2021-2022,offer_institutions,0,NA,NA,NA,NA
141_2021-2022,offer_institutions,4675,NA,NA,NA,NA
